task_id,plan_locator,objective,existing_files_or_outputs,tests_observed_in_records,status,current_validity,rework_needed
T12,"2026-07-10_referee_feedback_revision_plan.md:165-174","Integrar robustez já existente sem novas simulações","quality_reports/task12_boundary_conditions.csv; quality_reports/task12_boundary_conditions_compact.csv; quality_reports/task12_reconciliation.csv; quality_reports/task12_static_validation.csv; quality_reports/task12_boundary_conditions_audit.Rmd/pdf; quality_reports/task12_simulation_hashes_before.sha256; quality_reports/task12_simulation_hashes_after.sha256","Auditoria registra checks estáticos, reconciliação de claims e hashes before/after; inclui limite de T, tratamentos binário/escalonado, não linearidade, feedback, carryover, erro de medida e confounding; nenhum rerun integral nesta passagem","implemented_documentary_audit","Válida para delimitar evidência já produzida e lacunas, incluindo output declarado ausente; não substitui integração editorial","Conferir cada número contra seu CSV/script, manter a tabela compacta e resolver discrepâncias antes de inserir no PA"
T13,"2026-07-10_referee_feedback_revision_plan.md:176-189","Simular viés finite-T e escolha do estimador no painel dinâmico","simulations/finite_T_dynamic_panel/{R,README.md,run_finite_T_dynamic_panel.R,results,tests}; quality_reports/task13_finite_T_dynamic_panel/{task13_protocol_and_code_review.md,independent_review_terra_high.md,reproducibility_audit_ivb_paper_pa_task13.md,task13_main_text_summary.csv,task13_estimator_summary.csv}","Registros documentam preflight, smoke, invariantes e rerun determinístico; auditoria reproduz 54 células por estimador, 108 exibidas, 500 repetições/célula, 0/54 FE-ADL phase cells, 6/54 HPJ e cobertura mínima 0.700; PASS Terra/high é pré-execução do pacote e a auditoria é posterior aos outputs existentes; nada foi executado agora","completed_outputs_recorded_audit","Válida para os resultados numéricos existentes, inclusive 0.700, dentro da grade principal; cobertura é do CET simulado, não de CI de Delta_Z","Antes de uso editorial, conferir integração, truth/denominadores e escopo; qualquer alteração de bytes exige nova revisão independente"
T14,"2026-07-10_referee_feedback_revision_plan.md:191-202","Simular misspecification de lag e persistência de D","simulations/lag_misspecification_persistence/{R,README.md,run_lag_misspecification_persistence.R,smoke_test.R,task14_protocol.md,lag_misspecification_persistence_report.Rmd,results}; results/checkpoints/L1_RD20_CO00.csv; results/checkpoints/L1_RD20_CO25.csv; results/run_log.txt; quality_reports/task14_lag_misspecification_persistence/independent_review_terra_high.md; quality_reports/task14_lag_misspecification_persistence/independent_review_terra_high_external.md; quality_reports/task14_lag_misspecification_persistence/independent_review_terra_high_external_rereview.md","Há PASS Terra/high pré-execução e REPAIR externo/rereview históricos; bytes atuais de metrics.R:131-179 ainda constroem validation sem abortar quando `passed` é falso e metrics.R:7-112 salvam `n_success` sem `n_acf_finite`/pares efetivos; árvore de results contém só dois checkpoints e log inicial de full, sem CSVs finais/manifests/PDF","preparation_incomplete_execution; historical_review_conflict","Válida para desenho, preflight e smoke registrados; não há execução integral verificável nem base para claims numéricos do paper","Reconciliar a revisão independente com os bytes atuais; reparar/validar bloqueio de output e denominadores, repetir as revisões exigidas e deixar o full para a etapa prevista pelo plano"
T15,"2026-07-10_referee_feedback_revision_plan.md:204-215","Simular múltiplos controles correlacionados com papéis causais diferentes","nenhum diretório/CSV/PDF dedicado localizado em simulations; apenas derivations/shift_allocation_correlated_controls.* e script de exemplo","Somente identidades/exemplo determinístico da Task08 estão registrados; não há teste de grade pré-especificada nem execução desta tarefa","not_located; sequence_pending","Válida apenas como requisito pendente; não sustenta resultados de múltiplos controles em DGP","Especificar o DGP e a grade após T07-T08; separar identidade exata de evidência Monte Carlo e seguir a sequência registrada no plano"
T16,"2026-07-10_referee_feedback_revision_plan.md:217-228","Calibrar intervalos bootstrap/delta para Delta_Z","derivations/specification_shift_uncertainty.* e scripts de teste; nenhum diretório de simulação/CSV/PDF de calibração dedicado localizado","Os documentos de incerteza explicitam que não produzem bootstrap, coverage ou aplicação; nenhuma validação desta tarefa foi executada agora","not_located; sequence_pending","Não válida para cobertura, comprimento ou viés de SE; apenas localiza o método preliminar","Implementar depois de T09, confrontar coverage com truth sem filtrar cenários e seguir a sequência do plano"
T17,"2026-07-10_referee_feedback_revision_plan.md:230-240","Decidir go/no-go para heterogeneidade dinâmica","simulations/diagnostics/diag_heterogeneous.R; simulations/diagnostics/results/diag_heterogeneous_results.csv; nenhum memo go/no-go dedicado localizado","Há artefato diagnóstico existente, mas não há claim pré-especificada e decisão registrada para esta revisão; nada foi executado agora","gate_pending","Válida como pista de diagnóstico e limite de escopo; não autoriza simulação adicional","Produzir memo go/no-go ligado a claim mantida; o caminho no-go deve permanecer explícito se a claim não for central"
T18,"2026-07-10_referee_feedback_revision_plan.md:242-252","Decidir go/no-go para fatores comuns e dependência transversal","nenhum DGP/relatório dedicado a common shocks, loadings heterogêneos ou CCE/IFE localizado","Nenhum gate memo ou bateria desta tarefa foi encontrado; nada foi executado agora","not_started_gate_pending","Válida como fronteira conceitual; não sustenta identificação ou inferência sob fatores","Separar identificação de inferência e registrar no-go/scope antes de abrir qualquer comparação geral nesta revisão"
T19,"2026-07-10_referee_feedback_revision_plan.md:254-263","Formalizar seleção e codificação das aplicações","ivb_paper_pa.Rmd:141-175,644-646; replication/compute_standardized_ivb.R:36-350; replication/standardized_ivb_metrics.csv; quality_reports/cet_application_timing_audit.csv","A lista de seleção e os rótulos dos scripts são observáveis; não foi localizado protocolo completo com frame, log de exclusões, dois codificadores, codebook e fluxograma","partial_selection_material","Válida para reconstruir a seleção purposiva atual e seus denominadores; não sustenta representatividade","Persistir protocolo, coding sheet, codebook, fluxograma, referências de setas e adjudicação independente sem olhar magnitudes"
T20,"2026-07-10_referee_feedback_revision_plan.md:265-274","Auditar reprodução dos seis estudos e 14 controles","replication/{claassen_replication_ivb.R,leipziger_replication_ivb.R,peacekeeping_replication_ivb.R,fiscal_state_replication_ivb.R,compute_standardized_ivb.R,standardized_ivb_metrics.csv}; candidate_papers/*; relatórios individuais","Scripts e CSV registram reconstrução/extração, mas não há seis fichas PASS/FAIL completas com N, períodos, clustering, missing e comparação sistemática; nenhum rerun foi feito nesta passagem","partial_replication_audit","Válida para observar o universo e point shifts publicados no CSV; não fecha auditoria de amostra comum, timing ou todos os 14","Criar ficha por estudo, conferir amostras/lags/faixas, registrar discrepâncias e conservar separação entre candidatos selecionados e extras"
T21,"2026-07-10_referee_feedback_revision_plan.md:276-285","Construir DAGs concorrentes para Leipziger","ivb_paper_pa.Rmd:648-696; quality_reports/cet_timing_checklist.md; sem par de DAGs time-indexed dedicado localizado","Timing e papéis possíveis são descritos; não há dois DAGs, justificativas bibliográficas por seta ou tabela de implicações registrada","not_started","Válida apenas como diagnóstico da lacuna e do caso aplicado; não decide GDP como confounder ou treatment-responsive","Construir dois DAGs com relógio e fontes, validar contra dados e manter Delta descritivo até hipóteses serem defendidas"
T22,"2026-07-10_referee_feedback_revision_plan.md:287-296","Construir DAGs concorrentes para Rogowski","ivb_paper_pa.Rmd:734-822; replication/candidate_papers/post_office_2022/main_analyses.do; quality_reports/cet_timing_checklist.md; sem par de DAGs dedicado localizado","O texto registra estoque acumulado, janela de cinco anos e papéis concorrentes; não há dois DAGs time-indexed nem validação bibliográfica dedicada","not_started","Válida para localizar a ambiguidade do grande shift; não decide admissibilidade de GDP","Construir/validar dois DAGs com alinhamento da janela quinquenal, tratamento acumulado, GDP e crescimento futuro"
T23,"2026-07-10_referee_feedback_revision_plan.md:298-308","Refazer tabelas empíricas com Delta, incerteza e diagnósticos conjuntos","replication/standardized_ivb_metrics.csv; ivb_paper_pa.Rmd:698-822; tabelas geradas inline; nenhum script/tabela dedicado com CI(Delta) localizado","CSV tem beta_long, IVB e endpoint-SE scale; PA declara ausência de paired CI; não há coding causal, Delta CI, deslocamento conjunto completo ou auditoria de amostras; nenhum rerun agora","partial_existing_tables","Válida para point shifts e scale comparisons, com denominador explícito 14/11; não sustenta inferência de Delta","Implementar scripts/tabelas com CI pareado, papéis e ambiguidade; conferir modelos aninhados, clustering, sinais e denominadores"
T24,"2026-07-10_referee_feedback_revision_plan.md:310-321","Reestruturar e reescrever o manuscrito","ivb_paper_pa.Rmd; ivb_paper_pa.pdf; quality_reports/plans/2026-09-15_refine_contribution/evidence/manuscript_pdf_text.txt; baseline_manifest.json","Texto atual já contém CET, timing, shift descritivo, baseline condicional e aplicações; não há changelog argumental da nova versão nem gate A-D concluído; nenhum render foi feito agora","partial_current_manuscript","Válida como fonte ativa congelada no hash base e para localizar claims; ainda não é a versão final das Tasks 10-23","Esperar gates anteriores, então produzir Rmd/changelog com cada claim ligado a hipótese, derivação, simulação ou aplicação"
T25,"2026-07-10_referee_feedback_revision_plan.md:323-333","Construir pipeline reproduzível integral","scripts R e runners distribuídos em replication/, derivations/ e simulations/; manifests locais de Task11/13/14 e inventory de simulações; quality_reports/pipeline_report_*.md","Há manifests/logs e smoke/preflight em pacotes individuais; não foi localizado script mestre full/smoke com outputs do PA, session info global ou relatório integral atual; não foi executado agora","partial_distributed_pipeline","Válida para rastrear componentes existentes, não para reconstrução end-to-end","Unificar comandos, seeds, manifests, outputs brutos/derivados e validações; garantir que Rmd só leia outputs e tornar o boundary executado/não executado explícito"
T26,"2026-07-10_referee_feedback_revision_plan.md:335-345","Executar QA visual, auditoria numérica e gate editorial final","ivb_paper_pa.pdf; quality_reports/stage1_code_review*; stage2_devils_advocate*; stage3_proofread*; quality_reports/referee_report_cold_read.*; no final checklist/current QA package","Há revisões históricas e PDF/base hash; não há checklist PASS/FAIL final para o pacote desta revisão, inspeção de todas as páginas após mudanças ou ambiente limpo atual; nada foi executado agora","not_started_blocked_by_prior_tasks","Válida como histórico de revisão, não como liberação editorial atual","Depois de T25, executar auditoria numérica, inspeção visual, proofread, bibliografia e cold read; registrar riscos residuais e não confundir revisão histórica com gate final"
